number,step,surface,valid_time,t2m
0,0 days,0.0,2007-01-07 17:00:00,272.92545
0,0 days,0.0,2007-01-07 17:00:00,272.80206
0,0 days,0.0,2007-01-07 18:00:00,272.97647
0,0 days,0.0,2007-01-07 18:00:00,272.86734
0,0 days,0.0,2007-01-07 19:00:00,273.04193
0,0 days,0.0,2007-01-07 19:00:00,272.918
0,0 days,0.0,2007-01-07 20:00:00,273.1105
0,0 days,0.0,2007-01-07 20:00:00,272.96753
0,0 days,0.0,2007-01-07 21:00:00,273.26266
0,0 days,0.0,2007-01-07 21:00:00,273.0671
0,0 days,0.0,2007-01-07 22:00:00,273.03964
0,0 days,0.0,2007-01-07 22:00:00,272.87848
0,0 days,0.0,2007-01-07 23:00:00,273.13553
0,0 days,0.0,2007-01-07 23:00:00,272.95337
0,0 days,0.0,2007-01-08 00:00:00,273.22705
0,0 days,0.0,2007-01-08 00:00:00,273.0399
0,0 days,0.0,2007-01-08 01:00:00,273.32092
0,0 days,0.0,2007-01-08 01:00:00,273.11725
0,0 days,0.0,2007-01-08 02:00:00,273.44537
0,0 days,0.0,2007-01-08 02:00:00,273.25986
0,0 days,0.0,2007-01-08 03:00:00,273.5604
0,0 days,0.0,2007-01-08 03:00:00,273.39197
0,0 days,0.0,2007-01-08 04:00:00,273.70563
0,0 days,0.0,2007-01-08 04:00:00,273.552
0,0 days,0.0,2007-01-08 05:00:00,273.82523
0,0 days,0.0,2007-01-08 05:00:00,273.7026
0,0 days,0.0,2007-01-08 06:00:00,273.85953
0,0 days,0.0,2007-01-08 06:00:00,273.74615
0,0 days,0.0,2007-01-08 07:00:00,273.97607
0,0 days,0.0,2007-01-08 07:00:00,273.8876
0,0 days,0.0,2007-01-08 08:00:00,274.11282
0,0 days,0.0,2007-01-08 08:00:00,274.0445
0,0 days,0.0,2007-01-08 09:00:00,274.31448
0,0 days,0.0,2007-01-08 09:00:00,274.2392
0,0 days,0.0,2007-01-08 10:00:00,274.26578
0,0 days,0.0,2007-01-08 10:00:00,274.1737
0,0 days,0.0,2007-01-08 11:00:00,274.4516
0,0 days,0.0,2007-01-08 11:00:00,274.31754
0,0 days,0.0,2007-01-08 12:00:00,274.7031
0,0 days,0.0,2007-01-08 12:00:00,274.58472
0,0 days,0.0,2007-01-08 13:00:00,274.76035
0,0 days,0.0,2007-01-08 13:00:00,274.67047
0,0 days,0.0,2007-01-08 14:00:00,274.85443
0,0 days,0.0,2007-01-08 14:00:00,274.8121
0,0 days,0.0,2007-01-08 15:00:00,274.8745
0,0 days,0.0,2007-01-08 15:00:00,274.84622
0,0 days,0.0,2007-01-08 16:00:00,274.81503
0,0 days,0.0,2007-01-08 16:00:00,274.75824
0,0 days,0.0,2007-01-08 17:00:00,274.9743
0,0 days,0.0,2007-01-08 17:00:00,274.8666
0,0 days,0.0,2007-01-08 18:00:00,275.11377
0,0 days,0.0,2007-01-08 18:00:00,275.01837
0,0 days,0.0,2007-01-08 19:00:00,275.18936
0,0 days,0.0,2007-01-08 19:00:00,275.13367
0,0 days,0.0,2007-01-08 20:00:00,275.17734
0,0 days,0.0,2007-01-08 20:00:00,275.12445
0,0 days,0.0,2007-01-08 21:00:00,275.24146
0,0 days,0.0,2007-01-08 21:00:00,275.15472
0,0 days,0.0,2007-01-08 22:00:00,275.5916
0,0 days,0.0,2007-01-08 22:00:00,275.4646
0,0 days,0.0,2007-01-08 23:00:00,275.73877
0,0 days,0.0,2007-01-08 23:00:00,275.61594
0,0 days,0.0,2007-01-09 00:00:00,275.8575
0,0 days,0.0,2007-01-09 00:00:00,275.74283
0,0 days,0.0,2007-01-09 01:00:00,275.98367
0,0 days,0.0,2007-01-09 01:00:00,275.8667
0,0 days,0.0,2007-01-09 02:00:00,276.06027
0,0 days,0.0,2007-01-09 02:00:00,275.99814
0,0 days,0.0,2007-01-09 03:00:00,276.00677
0,0 days,0.0,2007-01-09 03:00:00,275.96088
0,0 days,0.0,2007-01-09 04:00:00,275.92642
0,0 days,0.0,2007-01-09 04:00:00,275.87943
0,0 days,0.0,2007-01-09 05:00:00,275.9642
0,0 days,0.0,2007-01-09 05:00:00,275.91916
0,0 days,0.0,2007-01-09 06:00:00,275.99527
0,0 days,0.0,2007-01-09 06:00:00,275.939
0,0 days,0.0,2007-01-09 07:00:00,276.04965
0,0 days,0.0,2007-01-09 07:00:00,275.97717
0,0 days,0.0,2007-01-09 08:00:00,276.10367
0,0 days,0.0,2007-01-09 08:00:00,276.05328
0,0 days,0.0,2007-01-09 09:00:00,275.9876
0,0 days,0.0,2007-01-09 09:00:00,275.96075
0,0 days,0.0,2007-01-09 10:00:00,275.69882
0,0 days,0.0,2007-01-09 10:00:00,275.68512
0,0 days,0.0,2007-01-09 11:00:00,275.82928
0,0 days,0.0,2007-01-09 11:00:00,275.72156
0,0 days,0.0,2007-01-09 12:00:00,276.35632
0,0 days,0.0,2007-01-09 12:00:00,276.22314
0,0 days,0.0,2007-01-09 13:00:00,276.53482
0,0 days,0.0,2007-01-09 13:00:00,276.43887
0,0 days,0.0,2007-01-09 14:00:00,276.52658
0,0 days,0.0,2007-01-09 14:00:00,276.46893
0,0 days,0.0,2007-01-09 15:00:00,276.43445
0,0 days,0.0,2007-01-09 15:00:00,276.40167
0,0 days,0.0,2007-01-09 16:00:00,276.3354
0,0 days,0.0,2007-01-09 16:00:00,276.3085
0,0 days,0.0,2007-01-09 17:00:00,276.43225
0,0 days,0.0,2007-01-09 17:00:00,276.35303
0,0 days,0.0,2007-01-09 18:00:00,276.46606
0,0 days,0.0,2007-01-09 18:00:00,276.42014
0,0 days,0.0,2007-01-09 19:00:00,276.39932
0,0 days,0.0,2007-01-09 19:00:00,276.34448
0,0 days,0.0,2007-01-09 20:00:00,276.34637
0,0 days,0.0,2007-01-09 20:00:00,276.27054
0,0 days,0.0,2007-01-09 21:00:00,276.30496
0,0 days,0.0,2007-01-09 21:00:00,276.23697
0,0 days,0.0,2007-01-09 22:00:00,276.45712
0,0 days,0.0,2007-01-09 22:00:00,276.40393
0,0 days,0.0,2007-01-09 23:00:00,276.33536
0,0 days,0.0,2007-01-09 23:00:00,276.32666
0,0 days,0.0,2007-01-10 00:00:00,276.14026
0,0 days,0.0,2007-01-10 00:00:00,276.1408
0,0 days,0.0,2007-01-10 01:00:00,276.2025
0,0 days,0.0,2007-01-10 01:00:00,276.15158
0,0 days,0.0,2007-01-10 02:00:00,276.5191
0,0 days,0.0,2007-01-10 02:00:00,276.42816
0,0 days,0.0,2007-01-10 03:00:00,276.64944
0,0 days,0.0,2007-01-10 03:00:00,276.57446
0,0 days,0.0,2007-01-10 04:00:00,276.62537
0,0 days,0.0,2007-01-10 04:00:00,276.56998
0,0 days,0.0,2007-01-10 05:00:00,276.56384
0,0 days,0.0,2007-01-10 05:00:00,276.4992
0,0 days,0.0,2007-01-10 06:00:00,276.45728
0,0 days,0.0,2007-01-10 06:00:00,276.39517
0,0 days,0.0,2007-01-10 07:00:00,276.38168
0,0 days,0.0,2007-01-10 07:00:00,276.3131
0,0 days,0.0,2007-01-10 08:00:00,276.27393
0,0 days,0.0,2007-01-10 08:00:00,276.21292
0,0 days,0.0,2007-01-10 09:00:00,276.04758
0,0 days,0.0,2007-01-10 09:00:00,275.99918
0,0 days,0.0,2007-01-10 10:00:00,275.6799
0,0 days,0.0,2007-01-10 10:00:00,275.64716
0,0 days,0.0,2007-01-10 11:00:00,275.54712
0,0 days,0.0,2007-01-10 11:00:00,275.52167
0,0 days,0.0,2007-01-10 12:00:00,275.54233
0,0 days,0.0,2007-01-10 12:00:00,275.5247
0,0 days,0.0,2007-01-10 13:00:00,275.58807
0,0 days,0.0,2007-01-10 13:00:00,275.5626
0,0 days,0.0,2007-01-10 14:00:00,275.70453
0,0 days,0.0,2007-01-10 14:00:00,275.6595
0,0 days,0.0,2007-01-10 15:00:00,275.6878
0,0 days,0.0,2007-01-10 15:00:00,275.59857
0,0 days,0.0,2007-01-10 16:00:00,275.4678
0,0 days,0.0,2007-01-10 16:00:00,275.40515
0,0 days,0.0,2007-01-10 17:00:00,275.43106
0,0 days,0.0,2007-01-10 17:00:00,275.40115
0,0 days,0.0,2007-01-10 18:00:00,275.25317
0,0 days,0.0,2007-01-10 18:00:00,275.16055
0,0 days,0.0,2007-01-10 19:00:00,274.87067
0,0 days,0.0,2007-01-10 19:00:00,274.80322
0,0 days,0.0,2007-01-10 20:00:00,274.76678
0,0 days,0.0,2007-01-10 20:00:00,274.7066
0,0 days,0.0,2007-01-10 21:00:00,274.9121
0,0 days,0.0,2007-01-10 21:00:00,274.85336
0,0 days,0.0,2007-01-10 22:00:00,274.76
0,0 days,0.0,2007-01-10 22:00:00,274.68808
0,0 days,0.0,2007-01-10 23:00:00,274.8174
0,0 days,0.0,2007-01-10 23:00:00,274.75443
0,0 days,0.0,2007-01-11 00:00:00,274.85797
0,0 days,0.0,2007-01-11 00:00:00,274.78104
0,0 days,0.0,2007-01-11 01:00:00,274.93976
0,0 days,0.0,2007-01-11 01:00:00,274.85217
0,0 days,0.0,2007-01-11 02:00:00,275.01678
0,0 days,0.0,2007-01-11 02:00:00,274.9429
0,0 days,0.0,2007-01-11 03:00:00,275.05667
0,0 days,0.0,2007-01-11 03:00:00,274.9495
0,0 days,0.0,2007-01-11 04:00:00,274.99887
0,0 days,0.0,2007-01-11 04:00:00,274.89313
0,0 days,0.0,2007-01-11 05:00:00,274.93793
0,0 days,0.0,2007-01-11 05:00:00,274.86548
0,0 days,0.0,2007-01-11 06:00:00,274.92523
0,0 days,0.0,2007-01-11 06:00:00,274.8497
0,0 days,0.0,2007-01-11 07:00:00,275.01132
0,0 days,0.0,2007-01-11 07:00:00,274.95172
